status,alias,product,component,version,hardware,importance,assignee
NEW,None,WTP Webservices,wst.wsdl,1.5,PC Windows XP,P3 normal ,Project Inbox
NEW,None,GMF-Tooling,Core,2.0,All All,P3 enhancement ,gmf.templates-inbox
NEW,None,Platform,UI,3.2,PC Windows XP,P3 enhancement ,Platform UI Triaged
NEW,None,Platform,SWT,3.2,PC Windows XP,P3 enhancement ,Carolyn MacLeod
NEW,None,Platform,UI,3.2,PC Windows XP,P3 enhancement ,Boris Bokowski
NEW,None,Java Server Faces,Core,1.5,PC Windows XP,P3 normal ,Cameron Bateman
NEW,None,WTP Webservices,wst.wsdl,1.5,PC Windows XP,P3 enhancement ,Project Inbox
NEW,None,Platform,SWT,3.2,PC Windows XP,P3 normal with 1 vote ,Steve Northover
NEW,None,WTP Source Editing,jst.jsp,unspecified,PC Windows 2000,P3 enhancement with 2 votes ,jst.jsp
ASSIGNED,None,CDT,cdt-build-managed,3.1,PC Windows XP,P3 minor ,Project Inbox
NEW,None,GMF-Tooling,Core,2.0,PC Windows XP,P1 normal ,Project Inbox
NEW,None,WTP Source Editing,jst.jsp,unspecified,PC Windows XP,P3 enhancement ,jst.jsp
ASSIGNED,None,JDT,Text,3.2,All All,P3 minor ,JDT-Text-Inbox
NEW,None,GMF-Tooling,Core,2.0,All All,P3 enhancement ,gmf.ui-inbox
NEW,None,Platform,SWT,3.1.1,PC Windows XP,P3 normal with 1 vote ,Carolyn MacLeod
NEW,None,GMF-Runtime,General,unspecified,PC Windows XP,P3 normal,Anthony Hunter
ASSIGNED,None,Platform,UI,3.1.2,PC Linux,P5 normal ,Platform UI Triaged
NEW,None,GMF-Runtime,General,unspecified,PC Windows XP,P3 normal,Anthony Hunter
NEW,None,Platform,SWT,3.1.1,PC Windows XP,P3 normal ,Carolyn MacLeod
ASSIGNED,None,Platform,CVS,3.2,PC All,P3 normal ,platform-cvs-inbox
NEW,None,JDT,UI,3.2,PC Windows XP,P3 normal ,Markus Keller
NEW,None,Platform,UI,3.2,PC Windows XP,P5 trivial ,Platform UI Triaged
NEW,None,z_Archived,gmt,unspecified,PC Linux,P3 major ,gmt-atl-inbox
NEW,None,GMF-Runtime,General,1.0,PC Windows XP,P3 normal,Anthony Hunter
ASSIGNED,None,Platform,CVS,3.2,PC Windows XP,P5 normal ,platform-cvs-inbox
NEW,None,Platform,SWT,3.2,PC Windows XP,P3 normal with 2 votes ,Grant Gayed
ASSIGNED,None,Platform,Text,3.2,PC Linux,P5 enhancement ,Platform-Text-Inbox
NEW,None,Platform,User,3.2,All All,P3 normal ,platform-ua-inbox
ASSIGNED,None,CDT,cdt-build-managed,3.1,PC Windows 2000,P3 enhancement ,cdt-build-inbox@eclipse.org
NEW,None,Platform,UI,3.2,All All,P5 enhancement ,Platform UI Triaged
NEW,None,Platform,SWT,3.2,PC Windows XP,P3 normal ,Felipe Heidrich
NEW,None,GMF-Runtime,General,unspecified,PC Windows XP,P3 normal,Carson Li
NEW,None,BIRT,Report,unspecified,PC Windows XP,P3 normal ,Wei Yan
ASSIGNED,None,JDT,Text,3.2,All All,P3 minor ,JDT-Text-Inbox
NEW,None,Platform,SWT,3.0,PC Windows XP,P3 normal ,Steve Northover
ASSIGNED,None,Platform,Runtime,3.2,PC Windows XP,P3 normal ,platform-runtime-inbox
NEW,None,Platform,UI,3.2,PC Windows 2000,P3 normal ,Platform UI Triaged
NEW,None,Platform,User,3.2,PC Windows XP,P3 enhancement ,platform-ua-inbox
NEW,None,AspectJ,Compiler,DEVELOPMENT,PC Windows XP,P3 normal ,aspectj inbox
ASSIGNED,None,Equinox,Incubator,3.3,All All,P3 enhancement with 1 vote ,equinox.compendium-inbox
NEW,None,JDT,Core,3.0,PC Windows XP,P3 normal ,David Audel
NEW,None,Platform,SWT,3.2,PC Windows XP,P3 enhancement ,Steve Northover
NEW,None,GMF-Tooling,Core,unspecified,PC All,P3 normal with 2 votes ,Artem Tikhomirov
ASSIGNED,None,Platform,CVS,3.2,PC Windows XP,P3 enhancement ,platform-cvs-inbox
ASSIGNED,None,JDT,Text,3.1.2,PC Windows XP,P3 normal ,JDT-Text-Inbox
NEW,None,Platform,UI,3.2,PC Windows XP,P3 normal ,Platform UI Triaged
NEW,None,Platform,UI,3.2,PC Windows XP,P5 normal ,Platform UI Triaged
NEW,None,Mylyn,UI,unspecified,PC All,P5 enhancement ,Robert Elves
NEW,None,AspectJ,Compiler,DEVELOPMENT,PC Windows XP,P5 enhancement ,aspectj inbox
NEW,None,Platform,SWT,3.6,PC Windows XP,P3 normal ,Silenio Quarti
NEW,None,Platform,SWT,3.2,PC Windows XP,P3 enhancement with 10 votes ,Steve Northover
ASSIGNED,None,Platform,CVS,3.2,PC Windows 2000,P5 normal ,platform-cvs-inbox
NEW,None,JDT,Core,3.2,PC Windows XP,P3 normal ,JDT-Core-Inbox
NEW,None,JDT,Core,3.2,PC Windows 2000,P5 normal ,JDT-Core-Inbox
NEW,None,Platform,UI,3.2,PC Windows XP,P5 normal ,Platform UI Triaged
NEW,None,CDT,cdt-core,3.1,PC Linux,P3 critical ,Project Inbox
NEW,None,Platform,UI,3.2,PC Windows XP,P3 enhancement ,Platform UI Triaged
NEW,None,PDE,UI,3.0,PC Windows XP,P3 normal ,PDE-UI-Inbox
NEW,None,GMF-Runtime,General,1.0,PC All,P3 enhancement,Anthony Hunter
NEW,None,Platform,User,3.2,PC Windows XP,P3 normal ,platform-ua-inbox
ASSIGNED,None,JDT,Text,3.2,All All,P4 enhancement with 2 votes ,JDT-Text-Inbox
NEW,None,GMF-Runtime,General,1.0,PC Windows XP,P3 normal,Carson Li
NEW,None,GMF-Runtime,General,1.0,PC Windows XP,P3 normal,Carson Li
NEW,None,GMF-Tooling,Core,2.0,PC Windows XP,P3 normal with 1 vote ,Project Inbox
NEW,None,ATF,Mozilla,unspecified,PC Windows XP,P3 normal ,Inbox
NEW,None,Platform,SWT,3.2,PC All,P3 normal ,Grant Gayed
NEW,None,z_Archived,gmt,unspecified,PC Linux,P3 normal ,gmt-atl-inbox
ASSIGNED,None,Platform,Team,3.2,PC Windows 2000,P3 normal ,Platform Team Inbox
ASSIGNED,None,Platform,UI,3.2,PC Windows XP,P3 normal ,Platform UI Triaged
NEW,None,PDE,UI,3.2,PC Windows XP,P3 normal ,PDE-UI-Inbox
ASSIGNED,None,Platform,UI,3.2,PC Windows XP,P5 enhancement with 1 vote ,Platform UI Triaged
ASSIGNED,None,Platform,CVS,3.1.2,PC Linux,P5 minor ,platform-cvs-inbox
NEW,None,Platform,UI,3.2,All All,P3 enhancement with 1 vote ,Boris Bokowski
NEW,None,Platform,User,3.2,PC Windows XP,P3 normal ,platform-ua-inbox
NEW,None,JDT,UI,3.2,PC Linux,P3 normal ,JDT-UI-Inbox
ASSIGNED,None,JDT,UI,3.2,PC Windows XP,P3 normal with 1 vote ,JDT-UI-Inbox
NEW,None,GMF-Tooling,Core,1.0,All All,P2 normal ,Artem Tikhomirov
NEW,None,CDT,cdt-debug,3.1,PC Linux,P3 normal ,cdt-debug-inbox@eclipse.org
NEW,None,Platform,SWT,3.2,PC Windows All,P3 enhancement ,Platform-SWT-Inbox
NEW,None,GMF-Tooling,Core,1.0.1,All All,P3 major ,Artem Tikhomirov
NEW,None,GMF-Runtime,General,unspecified,PC Windows XP,P3 normal,Cherie Revells
NEW,None,Dali JPA Tools,JPA,0.5,PC Windows XP,P3 normal ,Neil Hauge
NEW,None,Dali JPA Tools,JPA,0.5,PC Windows XP,P3 normal ,Neil Hauge
ASSIGNED,None,Platform,Compare,3.1,PC Windows XP,P3 major ,Platform-Compare-Inbox
NEW,None,Platform,UI,3.2,PC Windows XP,P3 enhancement ,Platform UI Triaged
NEW,None,JDT,Core,3.2,PC All,P3 normal ,JDT-Core-Inbox
NEW,None,GMF-Tooling,Core,1.0,All All,P3 trivial ,gmf.models-inbox
NEW,None,AspectJ,LTWeaving,DEVELOPMENT,PC Windows XP,P3 enhancement ,aspectj inbox
NEW,None,GMF-Tooling,Core,2.0,All All,P3 enhancement ,gmf.ui-inbox
NEW,None,Platform,Runtime,3.2,PC Windows XP,P3 enhancement ,platform-runtime-inbox
ASSIGNED,None,Platform,UI,3.2,PC Windows XP,P5 enhancement ,Platform UI Triaged
NEW,None,WTP Webservices,wst.wsdl,unspecified,PC Windows XP,P3 minor ,Project Inbox
NEW,None,z_Archived,VE,unspecified,PC Windows XP,P3 normal ,VE Bugzilla inbox
NEW,None,GMF-Tooling,Core,1.0,PC Windows XP,P3 enhancement ,Alexander Fedorov
NEW,None,Platform,SWT,3.2,PC Windows XP,P3 normal ,Carolyn MacLeod
NEW,None,JDT,Core,3.1.2,All All,P3 major with 1 vote ,JDT-Core-Inbox
ASSIGNED,None,JDT,UI,3.2,All All,P4 enhancement ,JDT-UI-Inbox
NEW,None,Platform,UI,3.2,PC Windows XP,P5 normal with 1 vote ,Platform UI Triaged
NEW,None,CDT,cdt-debug,3.1,PC Windows XP,P3 normal ,cdt-debug-inbox@eclipse.org
NEW,None,Platform,SWT,3.2,PC All,P3 normal ,Steve Northover
NEW,None,WTP Java EE Tools,jst.j2ee,1.5,PC Windows 2000,P3 enhancement ,Rob Stryker
NEW,None,GMF-Tooling,Core,2.0,All All,P3 enhancement ,gmf.generation-inbox
ASSIGNED,None,Platform,Resources,3.2,PC Linux,P4 major with 1 vote ,Platform-Resources-Inbox
NEW,None,Platform,SWT,3.2,PC Windows XP,P3 enhancement ,Grant Gayed
NEW,None,CDT,cdt-debug,3.1,PC Windows XP,P3 normal ,cdt-debug-inbox@eclipse.org
NEW,None,GMF-Tooling,Core,1.0,All All,P3 enhancement ,gmf.models-inbox
ASSIGNED,None,WTP Webservices,wst.wsi,1.5,All All,P3 enhancement ,Project Inbox
NEW,None,z_Archived,VE,unspecified,Macintosh Mac OS X - Carbon (unsup.),P3 enhancement ,VE Bugzilla inbox
ASSIGNED,None,JDT,UI,3.2,All All,P3 enhancement with 8 votes ,JDT-UI-Inbox
NEW,None,CDT,cdt-debug,3.1,All Linux,P3 enhancement ,cdt-debug-inbox@eclipse.org
ASSIGNED,None,Target Management,RSE,unspecified,PC Linux-GTK,P4 minor ,David McKnight
NEW,None,Platform,UI,3.2,PC Windows XP,P5 normal ,Platform UI Triaged
ASSIGNED,None,Platform,UI,3.2,All All,P3 normal ,Platform UI Triaged
NEW,None,AspectJ,LTWeaving,DEVELOPMENT,PC Windows XP,P5 enhancement ,aspectj inbox
NEW,None,ATF,Mozilla,unspecified,PC Linux,P3 normal ,Inbox
NEW,None,GMF-Tooling,Core,1.0,PC Windows XP,P3 normal ,gmf.ui-inbox
NEW,None,Platform,UI,3.2,PC Windows XP,P5 normal ,Platform UI Triaged
NEW,None,WTP Source Editing,wst.xml,unspecified,All All,P3 enhancement with 1 vote ,wst.xml-triaged
NEW,None,GMF-Tooling,Core,1.0,All All,P3 enhancement ,gmf.templates-inbox
ASSIGNED,None,Platform,UI,3.2,Macintosh Mac OS X - Carbon (unsup.),P3 minor ,Platform UI Triaged
NEW,None,AspectJ,Compiler,DEVELOPMENT,PC Windows XP,P3 enhancement ,aspectj inbox
NEW,None,GMF-Runtime,General,1.0,PC Windows XP,P3 normal,Anthony Hunter
NEW,None,GMF-Runtime,General,unspecified,PC Windows XP,P3 normal,Anthony Hunter
NEW,None,Platform,IDE,3.2,All All,P5 enhancement ,Platform UI Triaged
NEW,None,Platform,SWT,3.2,PC Windows XP,P3 major ,Grant Gayed
NEW,None,WTP Source Editing,jst.jsp,1.5,PC Windows XP,P3 normal with 2 votes ,jst.jsp
NEW,None,GMF-Runtime,General,1.0,PC Windows XP,P3 normal,Anthony Hunter
NEW,None,GMF-Runtime,General,1.0,PC Windows XP,P3 normal,Anthony Hunter
NEW,None,WTP Webservices,wst.ws,1.5,PC Windows XP,P3 minor ,Eric Peters
NEW,None,Platform,SWT,3.2,Macintosh Mac OS X - Carbon (unsup.),P3 normal ,Silenio Quarti
